code;name;citycode;streettypecode;thedistrictcode;modify_time;citykoid;resid;xstreetcode
INTEGER;VARCHAR(50);INTEGER;INTEGER;INTEGER;DECIMAL(16.0);VARCHAR(10);VARCHAR(10);VARCHAR(50)
1;1 Пресовий;3630;6;;;1210100000;;
2;1 Садовий;3783;6;;;1221055400;;
3;1 Травня;3630;3;;;1210100000;;
4;152-ї Дивізії;3630;3;;;1210100000;;
5;2 Пресовий;3630;6;;;1210100000;;
6;2 Садовий;3783;6;;;1221055400;;
7;20-річчя Перемоги;3630;3;;;1210100000;;
8;200-річчя Кривого Рогу;3638;3;;;1211000000;;
9;23 лютого;3638;3;;;1211000000;;
10;36 Гвардійської Стрілецької Дивізії;3783;3;;;1221055400;;
11;40 років Перемоги;3891;3;;;1221855500;;
12;40-років Перемоги;4840;3;;;1225283304;;
13;40-річчя Жовтня;3638;3;;;1211000000;;
14;8-го Березня;3636;3;;;1210700000;;
15;Євпаторійська;3630;3;;;1210100000;;
16;Європейська;3636;3;;;1210700000;;
17;Європейська;3630;3;;;1210100000;;
18;Єдності;3636;6;;;1210700000;;
19;Єрмолової;3630;3;;;1210100000;;
20;Єсеніна;3638;3;;;1211000000;;
21;І. Богуна;3636;3;;;1210700000;;
22;І. Виговського;3636;3;;;1210700000;;
23;І. Ульянова;3636;3;;;1210700000;;
24;І.Франка;3936;3;;;1221884001;;
25;І.Франка;3939;3;;;1221884005;;
26;Івана Акінфієва;3630;3;;;1210100000;;
27;Івана Добровольського;3638;3;;;1211000000;;
28;Івана Мазепи;3636;6;;;1210700000;;
29;Івана Франка;3630;3;;;1210100000;;
30;Івана Франка;3630;6;;;1210100000;;
31;Ігоря Клюєва;3630;3;;;1210100000;;
32;Ізюмський;3630;6;;;1210100000;;
33;Ілліча;12165;3;;;3522586402;;
34;Іллічівська;3638;3;;;1211000000;;
35;Інженерна;3630;3;;;1210100000;;
36;Іскрівська;3652;3;;;1212400000;;
37;Абрикосова;3636;3;;;1210700000;;
38;Автобуду;3630;3;;;1210100000;;
39;Автозаводська;3630;3;;;1210100000;;
40;Автотранспортна;3630;3;;;1210100000;;
41;Авіаційна;3630;3;;;1210100000;;
42;Агрономічна;3630;3;;;1210100000;;
43;Адмірала Головка;3638;3;;;1211000000;;
44;Аеродром;3630;3;;;1210100000;;
45;Аеропорт;3875;3;;;1221486207;;
46;Аеропорт;3630;3;;;1210100000;;
47;Азарнова;3892;3;;;1221855800;;
48;Академіка Заболотного;29758;3;;;8000000000;;
49;Академіка Янгеля;3630;3;;;1210100000;;
50;Акінфієва;3630;3;;;1210100000;;
51;Ангарська;3630;3;;;1210100000;;
52;Андрія Фабра;3630;3;;;1210100000;;
53;Анжерський;3630;6;;;1210100000;;
54;Антоновича;29758;3;;;8000000000;;
55;Арбатська;3630;3;;;1210100000;;
56;Артема;3630;3;;;1210100000;;
57;Архітектурний;3630;6;;;1210100000;;
58;Астраханська;3630;3;;;1210100000;;
59;Ачинська;3630;3;;;1210100000;;
60;Б. Ступки;3636;6;;;1210700000;;
61;Бабушкіна;3652;3;;;1212400000;;
