~1~900~Гос.потреби ВгРЕМ~Iншi~м. Вільногірськ вул. Степова     1А~~Будівля АПК ВгРЕМ (ком.12 ГРП ТЕЦ ГМК)~~0~0~0~0077889~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~109528~43~Абонент~0,4~~~~~~~76,90~~~~~~~~~01.11.2016~01.06.2014~16~01.06.2030~0~~~~~~~~~
~2~900~Гос.потреби ВгРЕМ~Iншi~м. Вільногірськ вул. Степова     1А~~Будівля АПК ВгРЕМ (ком.14 ГРП ТЕЦ ГМК)~~0~0~0~0077896~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~109532~43~Абонент~0,4~~~~~~~76,90~~~~~~~~~01.11.2016~01.06.2014~16~01.06.2030~0~~~~~~~~~
~3~900~Гос.потреби ВгРЕМ~Iншi~м. Вільногірськ вул. Центральна     39~ТП-9~Офісні приміщення енергозбуту ВгРЕМ (ТП-9 РБ-6)~~0~0~0~0329156~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~109524~15~Абонент~0,4~~~~~~~27,08~~~~~~~~~01.11.2016~01.04.2015~16~01.04.2031~0~~~~~~~~~
~4~30000001~ФОП Бабійчук Д.Я.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Магазин ФОП Бабійчук ТП-1~~0~0~0~0300831~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~108372~3~Абонент~0,2~~~~~~~0,22~~~~~~~~~01.06.2016~01.01.2016~16~01.01.2032~0~~~~~~~~~
~5~30000002~ФОП Івашина Г.В.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~ФОП Івашина Г.В.~~0~0~0~3560532~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106007~2~Абонент~0,2~~~~~~~0,14~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~6~30000003~ФОП Литвин Л.І.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Торгівельний павільйон ФОП Літвін Л.І.~~0~0~0~4341220~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106011~3~Абонент~0,2~~~~~~~0,19~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~7~30000004~ФОП Канаєв О.С.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Нежитлова будівля ФОП Канаєв О.С. (ТП-1)~~0~0~0~0014711~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~114541~32~Абонент~0,4~~~~~~~58,48~~~~~~~~~08.10.2019~23.03.2009~16~23.03.2025~0~~~~~~~~~
~8~30000004~ФОП Канаєв О.С.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Торгівелеьний павільйон ФОП Канаєв О.С.~~0~0~0~1439467~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106016~7~Абонент~0,2~~~~~~~0,51~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~9~30000005~ФОП Кисельов Р.В.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Торгівельний павільйон ФОП Кісельов Р.В.~~0~0~0~1764782~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106021~2~Абонент~0,2~~~~~~~0,13~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~10~30000006~ФОП Анохін Р.А.~Iншi~м. Вільногірськ вул. Молодіжна    32а~ТП-13~Торгівельний павільйон ФОП Анохін Р.А. (ТП-13)~~0~0~0~2813887~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106026~4~Абонент~0,2~~~~~~~0,25~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~11~30000007~ФОП Крючкова В.О.~Iншi~м. Вільногірськ вул. Центральна     49~ТП-11~Торгівельний павільйон ФОП Крючкова В.О.~~0~0~0~2346492~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106031~3~Абонент~0,2~~~~~~~0,22~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~12~30000008~ФОП Швець О.Ю.~Iншi~м. Вільногірськ вул. Центральна~ТП-22~Торгівельний павільйон ФОП Швець О.Ю.~~0~0~0~0798724~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106036~7~Абонент~0,2~~~~~~~0,47~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~13~30000009~ТЦСО (НСП)~Мiський бюджет~м. Вільногірськ вул. Юрія Устенка     29~ТП-37~ТЦСО (НСО) (ТП-37 РП-3)~~0~0~0~0612193~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~113295~3~Абонент~0,2~~~~~~~0,22~~~~~~~~~01.06.2018~01.05.2015~16~01.05.2031~0~~~~~~~~~
~14~30000010~ФОП Шмиголь С.І.~Iншi~м. Вільногірськ вул. Молодіжна~ТП-14~Торгівельний павільйон ФОП Шмиголь С.І.~~0~0~0~538334~СО-ЭА05М~10551~электронный~Однофазный~6~~1~~106046~4~Абонент~0,2~~~~~~~0,29~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~15~30000011~ФОП Левченко А.А.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Торгівельний павільйон ФОП Левченко А.А.~~0~0~0~006911~ЛЕ 1101~7093~электронный~Однофазный~6~10~1~1~106051~3~Абонент~0,2~~~~~~~0,18~~~~~~~~~01.10.2015~01.10.2015~6~01.10.2021~0~~~~~~~~~
~16~30000012~ФОП Матюха Н.І.~Iншi~м. Вільногірськ вул. Юрія Устенка     1а~ЗТП-1~Торгівельний павільйон ФОП Матюха Н.І. (ТП-1 РБ-6)~~0~0~0~1322534~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106056~1~Абонент~0,2~~~~~~~0,07~~~~~~~~~26.04.2018~01.04.2017~16~01.04.2033~0~~~~~~~~~
~17~30000012~ФОП Матюха Н.І.~Iншi~м. Вільногірськ вул. Молодіжна     62~ТП-68~Магазин "Островок" ФОП Матюха Н.І. (ТП-68 РБ-14)~~0~0~0~7744436~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~110826~5~Абонент~0,2~~~~~~~0,39~~~~~~~~~26.04.2018~01.06.2016~16~01.06.2032~0~~~~~~~~~
~18~30000013~ФОП Тарасевич Н.Л.~Iншi~м. Вільногірськ вул. Центральна     55~ТП-13~Магазин "Одяг" ФОП Тарасевич Н.Л. (ТП-13 РБ-4)~~0~0~0~0466541~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106061~10~Абонент~0,4~~~~~~~18,05~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~19~30000013~ФОП Тарасевич Н.Л.~Iншi~м. Вільногірськ вул. Центральна     61~ТП-20~Магазин ФОП Тарасевич Н.Л. (ТП-20 РБ-10)~~0~0~0~0731599~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~110831~12~Абонент~0,4~~~~~~~21,66~~~~~~~~~01.11.2017~01.03.2015~16~01.03.2031~0~~~~~~~~~
~20~30000014~ФОП Остапенко Н.М.~Iншi~м. Вільногірськ вул. Центральна     43~ТП-11~Кафе "Бригантина" ФОП Остапенко Н.М.~~0~0~0~05163~Дельта 8010-08~6320~электронный~Трехфазный~6~10~1,0~1~106066~74~Абонент~0,4~~~~~~~133,57~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~21~30000015~ФОП Мартиненко В.Г.~Iншi~м. Вільногірськ вул. Молодіжна    32а~ТП-12~Торгівельний павільйон ФОП Мартиненко ТП-12 1Т~~0~0~0~1134800~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~107108~5~Абонент~0,2~~~~~~~0,36~~~~~~~~~01.04.2016~26.08.2009~16~26.08.2025~0~~~~~~~~~
~22~30000016~ГК №1~Iншi~м. Вільногірськ вул. Молодіжна~ТП-10~Гаражний кооператив №1~~0~0~0~003159~СТ-ЭА 05~6343~электронный~Трехфазный~6~10~1,0~1~106071~8~Абонент~0,4~~~~~~~14,44~~~~~~~~~01.10.2015~01.10.2015~10~01.10.2025~0~~~~~~~~~
~23~30000017~ОК "ГК №3 м.Вільногірська"~Iншi~м. Вільногірськ вул. Молодіжна~ТП-10~Гаражний кооператив №3~~0~0~0~0466585~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106076~17~Абонент~0,4~~~~~~~30,14~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~24~30000018~ФОП Теребус О.В.~Iншi~м. Вільногірськ вул. Центральна    79в~ТП-22А~Кафе "У Петровича" ФОП Теребус О.В.~~0~0~0~0644014~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106086~35~Абонент~0,4~~~~~~~63,18~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~25~30000018~ФОП Теребус О.В.~Iншi~м. Вільногірськ вул. Центральна    79в~ТП-22А~Магазин "Ольга" ФОП Теребус О.В.~~0~0~0~0644093~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106081~21~Абонент~0,4~~~~~~~37,91~~~~~~~~~01.02.2019~01.10.2018~16~01.10.2034~0~~~~~~~~~
~26~30000019~ФОП Северенчук Р.А.~Iншi~м. Вільногірськ б. Миру   (15)~ТП-17~Торгівельний павільйон ФОП Северенчук Р.А. (ТП-17)~~0~0~0~0286896~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~110674~20~Абонент~0,4~~~~~~~36,10~~~~~~~~~01.05.2017~01.04.2014~16~01.04.2030~0~~~~~~~~~
~27~30000020~ПП "ГЕРМЕС"~Iншi~м. Вільногірськ вул. Степова    12а~РП-1~Автомийка ПП "ГЕРМЕС" (РП-1)~~0~0~0~0737661~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106096~25~Абонент~0,4~~~~~~~45,13~~~~~~~~~01.11.2017~01.06.2016~16~01.06.2032~0~~~~~~~~~
~28~30000021~ФОП Красношлик В.М.~Iншi~м. Вільногірськ вул. Степова    12а~РП-1~СТО ФОП Красношлик В.М.~~0~0~0~0461899~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106101~5~Абонент~0,4~~~~~~~9,03~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~29~30000022~ОК "ГК ЕНТУЗІАСТ М.ВІЛЬНОГІРСЬК"~Iншi~м. Вільногірськ вул. Ентузіастів~ЗТП-1~Гаражний кооператив "Ентузіаст"~~0~0~0~0637638~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106106~10~Абонент~0,4~~~~~~~17,15~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
~30~30000024~ФОП Шевченко О.М.~Iншi~м. Вільногірськ вул. Центральна     57~ТП-13~Нежитл.приміщення ФОП Шевченко О.М. (ТП-13 РБ-4)~~0~0~0~0400542~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106559~20~Абонент~0,4~~~~~~~36,10~~~~~~~~~01.10.2015~01.06.2015~16~01.06.2031~0~~~~~~~~~
~31~30000024~ФОП Шевченко О.М.~Iншi~м. Вільногірськ вул. Центральна     26~ТП-6~Нежитлова будівля ФОП Шевченко О.М. (ТП-6 РБ-9)~~0~0~0~0643047~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106121~40~Абонент~0,4~~~~~~~72,20~~~~~~~~~01.10.2015~01.10.2015~16~01.10.2031~0~~~~~~~~~
