Перелік калькуляцій вартості виконання додаткових робіт (послуг) на 2018 рік, пов'язаних з ліцензованою діяльністю ;;;;;;;;;;;;;
№ ;Назва роботи;Склад бригади;Погодинна тарифна ставка, грн ;Витрати робочого часу на роботу (всього), нормо-год. ;Витрати робочого часу на виконання роботи, нормо-год.;Час використання транспорту на простой ;Час використання транспорту на роботу ;;;;;;
1;Оформлення дозволу на виконання робіт в охоронній зоні електричних мереж (КЛ 0,4-10 кВ);Технік-електрик;26,37;0,92;0,67;0,67;;;;;;;
;;Електромонтер 4 р.;28,83;;;;;;;;;;
;;Електромонтер 4 р.;28,83;;;;;;;;;;
2;Первинне або повторне підключення електроустановки споживача до електричної мережі  при однофазному вводі (підключення відгалужень від опори 0,4 кВ  до ізоляторів та однофазних вводів в будівлю) із застосуванням автовишки;Електромонтер 4 р.;28,83;1,18;0,59;0,20;0,39;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
3;Первинне або повторне підключення електроустановки споживача до електричної мережі  при однофазному вводі (підключення відгалужень від опори 0,4 кВ  до ізоляторів та однофазних вводів в будівлю) із застосуванням лазів;Електромонтер 4 р.;28,83;1,35;0,68;0,68;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
4;Первинне або повторне підключення електроустановки споживача до електричної мережі  при трифазному вводі із застосуванням автовишки;Електромонтер 4 р.;28,83;1,41;0,71;0,22;0,49;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
5;Первинне або повторне підключення електроустановки споживача до електричної мережі  при трифазному вводі із застосуванням лазів;Електромонтер 4 р.;28,83;1,69;0,85;0,85;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
6;Відключення електроустановки споживача від електричної мережі при однофазному вводі  (відключення відгалужень від опори 0,4 кВ  до ізоляторів та однофазних вводів в будівлю) із застосуванням автовишки;Електромонтер 4 р.;28,83;1,18;0,59;0,20;0,39;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;; 
7;Відключення електроустановки споживача від електричної мережі при однофазному вводі  (відключення відгалужень від опори 0,4 кВ  до ізоляторів та однофазних вводів в будівлю) із застосуванням лазів;Електромонтер 4 р.;28,83;1,35;0,68;0,68;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
8;Відключення електроустановки споживача від електричної мережі при трифазному вводі  із застосуванням автовишки;Електромонтер 4 р.;28,83;1,41;0,71;0,22;0,49;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
9;Відключення електроустановки споживача від електричної мережі при трифазному вводі  із застосуванням лазів;Електромонтер 4 р.;28,83;1,69;0,85;0,85;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
10;Підключення споживача (електроустановки) до електромережі ПЛ напругою 0,4 кВ (рубильником, автоматом);Електромонтер 4 р.;28,83;5,00;2,50;2,50;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
11;Підключення однофазного електролічильника за нарядом (одно-, двоквартирні будинки, промисловість, комун.споживачі в центрі міста, при обслуговуванні яких не обов'язкове застосування автотранспорта);Електромонтер 3 р.;25,59;0,49;0,49;0,49;;;;;;;
12;Відключення однофазного електролічильника за нарядом (одно-, двоквартирні будинки, промисловість, комун.споживачі в центрі міста, при обслуговуванні яких не обов'язкове застосування автотранспорта);Електромонтер 3 р.;25,59;0,49;0,49;0,49;;;;;;;
13;Підключення до електричної мережі електроустановок із сезонним характером робіт, які понад місяць були знеструмлені, в т.ч. первинне підключення юридичних споживачів (підключення відгалуженням);Електромонтер 4 р.;28,83;4,78;1,59;1,59;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
;;Інспектор;35,15;;;;;;;;;;
14;Демонтаж однофазного вводу від опори 0,4 кВ із застосуванням автовишки ;Електромонтер 5 р.;33,10;1,08;1,08;0,72;0,36;;;; ;;
15;Демонтажа трифазного вводу від опори 0,4 кВ із застосуванням автовишки ;Електромонтер 5 р.;33,10;1,12;1,12;0,75;0,37;;;;;;
16;Монтаж однофазного відгалуження двожильним СІП ;Електромонтер 4 р.;28,83;2,9;1,45;1,45;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
17;Монтаж трифазного відгалуження з чотирма утримними ізольованими жилами або чотирижильним СІП з ізольованою утримною (нульовою) жилою;Електромонтер 4 р.;28,83;3,45;1,73;1,73;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
18;Підключення відгалужень від опори 0,4 кВ до ящика зовнішнього обліку електроенергії з установкою однофазного електролічильника із застосуванням автовишки;Електромонтер 4 р.;28,83;2,42;0,807;0,00;0,807;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
;;Електромонтер 3 р.;25,59;;;;;;;;;;
19;Позачергова технічна перевірка правильності роботи однофазних та трифазних приладів обліку електричної енергії;Провідний інженер;47,28;3,17;1,59;1,59;;;;;;;
;;Інженер;42,93;;;;;;;;;;
20;"Видача технічних умов приєднання електроустановки споживача до мереж ПрАТ ""ПЕЕМ ""ЦЕК"" (Обстеження земельної ділянки та визначення умов підключення об'єкта до мережі) ";;;;;;;;;;;;
;;;;;;;;;;;;;
20.1;до 16 кВт (включно);Інженер з технічного аудиту;35,15;0,58;0,29;0,29;;;;;;;
;;Майстер ПС (майстер РЕМ);34,51;;;;;;;;;;
