АЛГІС-М~Індикатор магніт.поля "Алгіс"~~~Невiдомий
АНАЛОГ~Ном. охоронна пломба "Аналог"~~~
БАР'ЄР~Пломба-наклейка "Бар'єр"~~~Пластикова
ГОЛОГРАФ~Ном. голографічна пломба~Голограма~~Металева
ГОЛОГРАФ_С~Ном. гологр. пломба (стара)~~~Свинцева
ГРАНІТ~Ном. охоронна пломба "Граніт"~Гранiт~~
КАРАТ~Ном. індикат. пломба "Карат"~~~
КРИСТАЛ~Ном. охоронна пломба "Кристал"~Кристал~~
ЛЮМЕСИЛ~Ном. охоронна пломба "Люмесил"~~~
МАГНЕТ~Індикатор магніт.поля "МагнеТ"~Магнет~~
СЕЙФ-ПАКЕТ~Номерний сейф-пакет~~~
ФАВОРИТ~Ном. індикат. пломба "Фаворит"~Фаворит~~Iнше
MAGNETTO~Інд. магніт.поля "Magnetto"~~~
РОТОСИЛ-II~Ном. охоронна пломба "Ротосил-II"~Ротосил-II~~Мастiка
MFI-3T~Інд. магніт.поля "MFI-3t"~MFI-3t~~
КЛИПСИЛ~Ном. охоронна пломба "Клипсил"~Клипсил~~
СIЛТЕК~Ном. охоронна пломба "Сілтек"~Сiлтек~~
ИМП~Інд. магніт.поля "ИМП"~ИМП~~
КРОК~Ном. охоронна пломба "КРОК"~КРОК~~
ГАРАНТ~Ном. охоронна пломба "ГАРАНТ"~ГАРАНТ~~
