id~type~normative~voltage_nom~amperage_nom~voltage_max~amperage_max~voltage2_nom~amperage2_nom~phase~swathe~hook_up~power_nom_old~amperage_no_load~power_nom~show_def~id_sap
6214~ТМ-100/10/0,4~~10000.0~~~~400.0~~2~2~~~2.6000~100~1~Т2_0044
6231~ТМ-100/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~7.5000~100~1~Т2_0045
6215~ТМ-100/6/0,4~~6000.0~~~~400.0~~2~2~~~2.6000~100~1~Т2_0052
6230~ТМ-100/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~6.5000~100~1~Т2_0053
6220~ТМ-1000/10/0,4~~10000.0~~~~400.0~~2~2~~~1.4000~1000~1~Т2_0055
6235~ТМ-1000/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~5.5000~1000~1~Т2_0056
6219~ТМ-1000/6/0,4~~6000.0~~~~400.0~~2~2~~~1.4000~1000~1~Т2_0069
6236~ТМ-1000/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~5.0000~1000~1~Т2_0068
6207~ТМ-160/10/0,4~~10000.0~~~~400.0~~2~2~~~2.4000~160~1~Т2_0075
2015~ТМ-160/6/0,4~~6000.0~~~~400.0~~2~2~~~2.4000~160~1~Т2_0081
6222~ТМ-1600/10/0,4~~10000.0~~~~400.0~~2~2~~~1.3000~1600~1~Т2_0082
6221~ТМ-1600/6/0,4~~6000.0~~~~400.0~~2~2~~~1.3000~1600~1~Т2_0093
6233~ТМ-180/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~7.0000~180~1~Т2_0099
6232~ТМ-180/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~6.0000~180~1~Т2_0104
6237~ТМ-1800/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~4.5000~1800~1~Т2_0105
6238~ТМ-1800/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~4.5000~1800~1~Т2_0110
6227~ТМ-20/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~10.0000~20~1~Т2_0112
6226~ТМ-20/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~9.0000~20~1~Т2_0114
6201~ТМ-25/10/0,4~~10000.0~~~~400.0~~2~2~~~3.2000~25~1~Т2_0039
6206~ТМ-25/6/0,4~~6300.0~~~~400.0~~2~2~~~3.2000~25~1~Т2_0041
6208~ТМ-250/10/0,4~~10000.0~~~~400.0~~2~2~~~2.3000~250~1~Т2_0120
2021~ТМ-250/6/0,4~~6300.0~~~~400.0~~2~2~~~2.3000~250~1~Т2_0126
6224~ТМ-2500/10/0,4~~10000.0~~~~400.0~~2~2~~~1.0000~2500~1~Т2_0127
6223~ТМ-2500/6/0,4~~6000.0~~~~400.0~~2~2~~~1.0000~2500~1~Т2_0137
6229~ТМ-30/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~9.0000~30~1~Т2_0140
6228~ТМ-30/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~8.0000~30~1~Т2_0142
6225~ТМ-320/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~7.0000~320~1~Т2_0144
2025~ТМ-320/6/0,4 (до 1970)~~6300.0~~~~400.0~~2~2~~~6.0000~320~1~Т2_0150
6211~ТМ-40/10/0,4~~10000.0~~~~400.0~~2~2~~~3.0000~40~1~Т2_0155
6210~ТМ-40/6/0,4~~6000.0~~~~400.0~~2~2~~~3.0000~40~1~Т2_0157
6209~ТМ-400/10/0,4~~10000.0~~~~400.0~~2~2~~~2.1000~400~1~Т2_0160
2027~ТМ-400/6/0,4~145~6000.0~~~~400.0~~2~2~~~2.1000~400~1~Т2_0172
6234~ТМ-560/10/0,4 (до 1970)~~10000.0~~~~400.0~~2~2~~~6.0000~560~1~Т2_0194
6213~ТМ-63/10/0,4~~10000.0~~~~400.0~~2~2~~~2.8000~63~1~Т2_0201
6212~ТМ-63/6/0,4~~6000.0~~~~400.0~~2~2~~~2.8000~63~1~Т2_0205
6218~ТМ-630/10/0,4~~10000.0~~~~400.0~~2~2~~~2.0000~630~1~Т2_0207
6217~ТМ-630/6/0,4~~6000.0~~~~400.0~~2~2~~~2.0000~630~1~Т2_0223
999999~_Невизначений~~~~~~~~~2~~~~~1~
6420~ТРДН-32000/150-69 У1 ПМЗ~~150000.0~~~~6000.0~~2~2~~~0.4900~32000~1~Т2/2_0008
6422~ТДНС-10000/35/6 Палмаш 1Т~~35000.0~~~~6000.0~~2~2~~~0.8000~10000~1~
6423~ТДНС-10000/35-У1 Палмаш 2Т~~35000.0~~~~6000.0~~2~2~~~0.1100~10000~1~
6421~ТРДН-32000/150/6/6 ПЗТО~~150000.0~~~~6000.0~~2~2~~~0.5900~32000~1~
6424~ТСМ-560/6/0,4 (до 1970)~~6000.0~~~~~~2~2~~~5.0000~560~1~Т2_0350
6436~ТМ-560/6/0,4 (до 1970)~~6000.0~~~~400.0~~2~2~~~6.0000~560~1~
6649~ТМН(ТМ)-2500/35~~35000.0~~~~400.0~~2~2~~~1.1000~2500~1~
