1~AUDI A6 2,4 (160083)~АЕ 83-44АТ~ 231,96    ~ 396,45    ~
2~Daewoo Lanos~АЕ 93-74СК~ 254,64    ~ 372,14    ~
3~Daewoo Lanos~АЕ 93-75СК~ 236,36    ~ 349,58    ~
4~ВАЗ 21043~АЕ 07-42ВА~ 255,65    ~ 368,87    ~
5~ВАЗ 21043~АЕ 07-43ВА~ 229,51    ~ 354,05    ~
6~ВАЗ 21043~АЕ 07-45ВА~ 235,18    ~ 359,72    ~
7~ВАЗ 21043~АЕ 07-46ВА~ 230,02    ~ 354,56    ~
8~ВАЗ 21043~АЕ 96-34ВТ~ 244,11    ~ 368,65    ~
9~ВАЗ 21043~АЕ 96-38ВТ~ 232,57    ~ 345,79    ~
10~ВАЗ 21043~АЕ 96-39ВТ~ 228,25    ~ 341,47    ~
11~ВАЗ 21093~444-03АЕ~ 229,65    ~ 342,87    ~
12~ВАЗ 21093~864-37 АВ~ 229,08    ~ 342,30    ~
13~ВАЗ 21093~891-36 АВ~ 233,16    ~ 346,38    ~
14~ВАЗ 21093~АЕ 13-49АЕ~ 236,51    ~ 349,73    ~
15~ВАЗ 21093~055-04 АЕ~ 233,37    ~ 335,27    ~
16~ВАЗ 21093~484-68АЕ~ 240,29    ~ 342,19    ~
17~ВАЗ 21140~АЕ 30-78АМ~ 260,34    ~ 373,56    ~
18~ГАЗ 2705~891-37 АВ~ 238,80    ~ 476,56    ~
19~ГАЗ 2705 лаборатория~166-12АЕ~ 268,87    ~ 517,95    ~
20~ГАЗ 2705 лаборатория~АЕ 59-97АО~ 238,56    ~ 487,64    ~
21~ГАЗ 2705-АС-6-242~АЕ 06-89АМ~ 233,55    ~ 459,99    ~
22~ГАЗ 2705-АС-6-242~АЕ 30-66АМ~ 245,26    ~ 483,02    ~
23~ГАЗ 2705-АС-6-242~АЕ 31-66АМ~ 230,54    ~ 445,66    ~
24~ГАЗ 3110~342-68 АЕ~ 226,09    ~ 384,60    ~
25~ГАЗ 31105~АЕ 09-88ВА~ 225,90    ~ 373,09    ~
26~ГАЗ 31105-101~АЕ 80-55АI~ 225,90    ~ 390,39    ~
27~ГАЗ 32213-224 микроавтобус~АЕ 04-66АМ~ 240,88    ~ 489,96    ~
28~ГАЗ 322132-418 ЭТЛ~АЕ 61-93АР~ 232,64    ~ 436,44    ~
29~ГАЗ 32213-418 ЭТЛ~АЕ 23-03ВМ~ 228,92    ~ 478,00    ~
30~ГАЗ 33021-212~АЕ 28-21АЕ~ 238,52    ~ 464,96    ~
31~ГАЗ 33023~АЕ 96-35ВТ~ 239,96    ~ 466,40    ~
32~ГАЗ 33023~АЕ 96-36ВТ~ 253,02    ~ 490,78    ~
33~ГАЗ 33023-212~АЕ 07-48ВА~ 250,73    ~ 477,17    ~
34~ГАЗ 33023-212~АЕ 40-54ВА~ 237,96    ~ 475,72    ~
35~ГАЗ 33023-212~АЕ 40-55ВА~ 240,59    ~ 467,03    ~
36~ГАЗ 33023-414~АЕ 70-38СI~ 234,32    ~ 472,08    ~
37~ГАЗ 33023-414~АЕ 70-39СІ~ 249,90    ~ 476,34    ~
38~ГАЗ 330232-206~АЕ 13-01НА~ 252,55    ~ 490,31    ~
39~ГАЗ 33023~АЕ 93-31ЕТ~ 232,57    ~ 470,33    ~
40~ГАЗ 3307 автогідропідіймач АП-17~АЕ 36-34ВВ~ 258,38    ~ 632,01    ~ 439,53    
41~ГАЗ 3307 автогідропідіймач АП-17~АЕ 36-35ВВ~ 266,73    ~ 640,36    ~ 447,88    
