;;;;;;
Вартість 1 машино-години використання машин (механізмів) в роботах за іншими, крім ліцензованого, видів діяльності на 2018 рік;;;;;;
;;;;;; грн 
№;Найменування транспорту;Державний номер;Місце розташування;Вартість 1 машино-години (простой);Вартість 1 машино-години (проїзд); Вартість 1 машино-години (на роботу спецмеханізімів) 
;;;;;;
;;;;;;
 1    ; 2    ; 3    ; 4    ;;;
1;AUDI A6 2,4 (160083);АЕ 83-44АТ;Кедріна, 28; 93,74 ; 252,69    ;
2;Daewoo Lanos;АЕ 93-74СК;Кротова, 44; 91,62 ; 216,51    ;
3;Daewoo Lanos;АЕ 93-75СК;ЖвРЕМ; 94,02 ; 194,42    ;
4;ВАЗ 21043;АЕ 07-42ВА;ГвРЕМ; 93,59 ; 193,99    ;
5;ВАЗ 21043;АЕ 07-43ВА;Кедріна, 28; 90,40 ; 201,96    ;
6;ВАЗ 21043;АЕ 07-45ВА;КрРЕМ; 94,48 ; 194,88    ;
7;ВАЗ 21043;АЕ 07-46ВА;Кедріна, 28; 90,32 ; 201,88    ;
8;ВАЗ 21043;АЕ 96-34ВТ;Кедрина, 28; 90,20 ; 190,60    ;
9;ВАЗ 21043;АЕ 96-38ВТ;ВгРЕМ; 91,05 ; 191,45    ;
10;ВАЗ 21043;АЕ 96-39ВТ;ЖвРЕМ; 90,24 ; 190,64    ;
11;ВАЗ 21093;444-03 АЕ;ДнРЕМ; 91,06 ; 180,30    ;
12;ВАЗ 21093;864-37 АВ;ЗпРЕМ; 91,93 ; 181,17    ;
13;ВАЗ 21093;891-36 АВ;Кедріна, 28; 91,24 ; 180,48    ;
14;ВАЗ 21093;АЕ 13-49АЕ;ПвРЕМ; 92,25 ; 170,34    ;
15;ВАЗ 21093;055-04 АЕ;Кедріна, 28; 90,97 ; 180,21    ;
16;ВАЗ 21093;484-68 АЕ;ЖвРЕМ; 101,85 ; 179,94    ;
17;ВАЗ 21140;АЕ 30-78АМ;Кедріна, 28; 91,33 ; 180,57    ;
18;ГАЗ 2410;АЕ 28-95АЕ;Кротова, 44; 93,88 ; 261,21    ;
19;ГАЗ 2705;891-37 АВ;АпРЕМ; 104,62 ; 316,57    ;
20;ГАЗ 2705 лаборатория;166-12АЕ;Кедріна, 28; 102,60 ; 336,87    ;
21;ГАЗ 2705 лаборатория;АЕ 59-97АО;Кедріна, 28; 107,53 ; 308,33    ;
22;ГАЗ 2705-АС-6-242;АЕ 06-89АМ;ЖвРЕМ; 95,97 ; 296,77    ;
23;ГАЗ 2705-АС-6-242;АЕ 30-66АМ;Кедріна, 28; 97,57 ; 331,84    ;
