think 	думать		
which 	что		
into 	на		
their 	их		
about 	около, почти, вновь		
make 	делать		
down 	вниз по		
time 	время		
take 	брать, требоваться, требовать, передавать, принимать, выбирать		
your 	ваш		
man 	человек		
more 	более, больший, дополнительный, больше		
who 	кто, который		
back 	возвращать, обратная сторона, спина, обратно, в ответ		
mister 	господин		
some 	около		
very 	очень		
over 	в течение, через, заканчиваться, пере, выше		
hand 	рука		
little 	немного, небольшой		
tell 	сказать		
us 	нас		
may 	мочь, возможно, май, можно, нельзя		
well 	хорошо, хороший, колодец, геол)скважина		
other 	другой		
before 	до, прежде, прежде, чем		
way 	путь, способ		
again 	снова, кроме того		
shall 	быть, должен, если		
find 	находить|найти, обнаруживать, оказываться, начинать		
just 	только что (в данный момент), только, едва, безошибочный, верный, правильный, точный		
eye 	глаз		
don 	дон		
than 	чем		
here 	здесь, сюда		
any 	любой		
how 	как		
where 	где, куда		
old 	старый		
good 	хорошо, хороший		
leave 	оставлять, оставаться, уходить		
give 	давать		
even 	даже, ровный, четный		
day 	день, дневной		
away 	прочь		
through 	через		
off 	от, с		
too 	слишком, тоже		
great 	большой		
never 	никогда		
after 	после, впоследствии, после того, как		
long 	долго (длиной), длинно, длинный, длиннее		
hear 	слышать, получать известие		
turn 	поворачивать, поворот, оборот		
feel 	чувствовать		
much 	значительно, очень, много, многое		
head 	голова, инф)мех)головка, союз)глава, главный		
our 	наш		
seem 	казаться, кажется,		
right 	право, правый, правильный, вправо		
must 	должен, по-видимому, должны		
face 	сталкиваться с, лицо, лицевой		
two 	два, двух		
still 	все еще, все же, неподвижный		
want 	хотеть		
door 	дверь, вход		
first 	сначала, первый		
upon 	с		
last 	последний раз, последний, прошлый		
something 	что-то, кое-чем		
though 	все-же, хотя		
night 	ночь, ночной		
light 	зажигать, свет, светлый, легкий, световой		
stand 	устанавливать, стоять, стенд		
open 	открывать, открытый		
room 	размещать, комната		
keep 	держать, сохранять, продолжать, встр)проводить		
place 	устанавливать, место		
ask 	спрашивать, просить		
ever 	когда-либо		
around 	вокруг, около, везде		
try 	пытаться, пробовать, попытка		
let 	позволять, давайте		
sit 	сидеть		
himself 	сам, себя		
such 	такой		
people 	люди		
begin 	начинать, начало		
own 	обладать, принадлежать, собственный		
house 	размещать, дом		
nothing 	ничто		
call 	называть, звать, комм)вызов, вызывать, встр)созывать, призыв, призывать		
once 	как только, один раз		
thing 	вещь		
put 	помещать, устанавливать		
voice 	высказывать, голос, речевой		
mr 	м-р		
why 	почему		
these 	они, этот		
mean 	означать, хотеть, предназначаться, средство, средний		
speak 	говорить		
because 	поскольку		
another 	другой		
many 	много, многий		
those 	тот		
while 	пока		
most 	наиболее, больше всего, самый, большинство		
real 	реальный		
work 	работа, работать, труд, рабочий		
under 	по		
world 	мир, мировой		
behind 	за, позади		
fall 	падать, падение		
hold 	держать		
year 	год		
word 	слово, известие, текстовый		
run 	запускать, бежать, работать, достигать, прогон		
bond 	подписывать обязательство, обязательство, облигация, закладная, связь		
mind 	одуш)возражать, слушаться, обращать внимание, ум, мнение		
every 	каждый		
without 	без, не		
dark 	темный		
far 	далеко, значительно, дальний		
new 	новый, вновь		
foot 	фут, нога		
walk 	проходить		
yet 	пока, все еще		
end 	заканчивать, конец, конечный, авто)торцевой		
side 	сторона, боковой		
moment 	момент		
talk 	говорить|поговорить, уговаривать, разговор		
black 	черный		
always 	всегда		
pass 	передавать, проходить, проход		
friend 	друг, дружественный		
close 	закрывать, закрытый, близкий		
three 	три, трех		
life 	жизнь, срок службы		
near 	около, близкий, почти		
watch 	наблюдать, следить, часы, дозор		
oh 	ох		
miss 	мисс		
move 	перемещать, перемещение		
toward 	по отношению к		
course 	курс, ход		
better 	лучше, лучший		
enough 	достаточно, достаточный		
stop 	останавливать, переставать, прекращаться, остановка, стоповый		
bring 	приносить, переносить, приводить		
anything 	что-нибудь		
cry 	плакать, кричать, крик		
name 	называть, имя		
same 	тот же		
point 	указывать, точка		
hard 	трудно, упорно, твердо, жесткий		
quite 	совсем		
arm 	вооружаться, рычаг (рука)		
sure 	несомненно, уверенный, убедитесь		
sir 	сэр		
half 	половина, наполовину		
sound 	звучать, звук, надежный, инф)звуковой		
love 	любить, любовь		
few 	несколько, некоторый, мало		
air 	проветривать, воздух, эфир, вид, воздушный		
dear 	дорогой		
soon 	скоро		
part 	разделять, часть		
help 	помогать, помощь, инф)подсказка		
against 	против		
return 	возвращать, обратный, возврат		
wait 	ожидать, ожидание		
wall 	стена		
round 	круглый, округлять, круг		
answer 	ответ		
woman 	женщина, женский		
follow 	следовать		
high 	высоко, высокий, уровень		
window 	окно		
young 	молодой		
until 	пока		
show 	показывать, показ		
father 	отец, отцовский		
sudden 	внезапный		
myself 	сам себя, себя самого, я		
happen 	случаться		
along 	вдоль		
both 	оба		
kind 	тип, любезный		
lord 	лорд		
white 	белый		
break 	ломать, инф)прерывать, прерывание		
next 	затем, следующий, другой		
child 	ребенок		
boy 	мальчик		
lie 	лежать, лгать, ложь		
dead 	мертвый		
since 	с, поскольку, с тех пор как, с тех пор		
certain 	определенный, уверенный, , несомненно		
water 	поливать, вода, водный		
heart 	сердце, основа, сердечный		
set 	устанавливать, набор, комплект, инф)установка		
small 	небольшой		
wish 	хотеть		
star 	звезда, звездный		
start 	запускать, начинать, начало, стартовый		
slow 	замедлять, медленный		
home 	дом, домашний, домой		
hour 	час, часовой		
girl 	девушка		
between 	между		
remember 	помнить		
almost 	почти		
become 	становиться		
mother 	мать, материнский		
deep 	глубокий, глубже		
tree 	дерево		
whole 	целый		
lady 	дама, дамский		
meet 	встречать, соответствовать, удовлетворять, выполнять		
believe 	верить		
sleep 	спать, сон		
smile 	улыбаться, улыбка		
wonder 	удивляться, удивление, чудо		
table 	стол, инф)таблица, табличный		
stone 	облицовывать, камень, каменный		
fire 	сжигать, стрелять, огонь, пожар, обстрел, пожарный		
street 	улица, уличный		
reach 	достигать		
each 	каждый		
morning 	утро, утром		
rest 	ставить, отдыхать, лежать, отдых, остальной		
grow 	выращивать, расти, расти		
quick 	быстро, быстрый		
shake 	трясти, шейк		
hope 	надеяться, надежда		
across 	через		
bear 	нести, перевозить, выдерживать, медведь		
land 	сажать|посадить, приземляться, земля, страна		
rise 	повышать, подниматься, повышение		
clear 	очистка, очищать, ясный, ясно		
large 	большой		
perhaps 	возможно		
draw 	делать, граф)рисовать, экон)получать, вытаскивать		
book 	заказывать, книга, книжный		
read 	читать, чтение		
bite 	кусать, укус		
else 	еще		
matter 	материал		
fear 	бояться, страх		
ground 	заземлять, земля, заземление		
minute 	минута, подробный, минутный		
second 	секунда, второй, во-вторых		
strange 	странно, странный		
win 	завоевывать, выигрывать, выигрыш		
sort 	сортировать, сортировка, тип		
together 	вместе		
lose 	терять, проигрывать, потеря		
laugh 	смеяться, смех		
indeed 	на самом деле		
hair 	волос, волосяной		
suppose 	полагать, допустим		
understand 	понимать		
poor 	бедный		
lead 	вести, лидировать, свинец, )лидерство, элек)вывод, ход, свинцовй		
send 	посылать		
master 	овладевать, мастер, эталон, основной		
above 	выше, вышеуказанное		
catch 	ловить|поймать		
body 	воплощать, тело, организация, орган		
road 	дорога, дорожный		
present 	представлять, обеспечивать, присутствовать, настоящее, настоящий, современный		
everything 	весь		
full 	полный, полностью		
case 	случай, дело, ящик, падеж, в таком случае		
herself 	сама, себя, она		
pull 	тянуть		
best 	наилучшим образом, наилучший		
aunt 	тетя		
cold 	холод, холодный		
doctor 	доктор		
city 	город, городской		
death 	смерть, смертельный		
dream 	мечтать, мечта		
front 	передний план, передний		
rather 	довольно, предпочтительно		
easy 	легко, легкий		
finger 	показывать, палец		
professor 	профессор		
would 	быть, должен, если бы, хотеть		
quiet 	успокаивать, тишина, тихий		
